sample_id,lay_id,country,lay.type,lay.depth.to.top,lay.depth.to.bottom,horizon.designation,texture.description,fiscal.year,submit.proj.name,taxonomic.classification.name,county.lat.ycntr,county.long.xcntr,fips.code,area.id_country,area.id_county,area.name_country,area.name_county,area.code_country,area.code_county,latitude,longitude,total_carbon,organic_carbon,nitrogen_total,ph_h2o,sand_tot_psa
30747,3548,United States,horizon,23,64,Bt1,Cobbly Clay,2001,WILLAMETTE VALLEY,"Fine, mixed, active, mesic Xeric Haplohumult",43.863845,-122.96298,41039,244,6532,United States,Lane,US,OR039,43.9934116,-122.8622738,0.51502,0.52,0.02649,4.81,22.9
36001,5746,United States,horizon,64,100,3Bt,Silty clay,2002,MLRA  75,"Fine, mixed, mesic Udic Argiustoll",39.480105,-97.650235,20029,244,5169,United States,Cloud,US,KS029,39.3514404,-97.5938797,0.15451,0.15,0.02046,6.37,18.6
36035,5786,United States,horizon,0,20,Ap,Silty clay loam,2002,MLRA  75,"Clayey over loamy, mesic Fluvaquentic Hapludoll",39.30494,-96.675295,20161,244,5235,United States,Riley,US,KS161,39.1365776,-96.6206589,1.56158,1.56,0.14823,6.65,2.6
36224,5798,United States,horizon,29,52,A,Silt loam,2002,MLRA  74 & 106,"Coarse-silty, mixed, superactive, mesic Fluventic Haplustoll",39.480105,-97.650235,20029,244,5169,United States,Cloud,US,KS029,39.5655403,-97.3811493,0.90996,0.8956,0.09325,7.78,10.7
36261,5837,United States,horizon,41,58,Bt3,Silty clay,2002,MLRA  74 & 106,"Fine, smectitic, mesic Aquertic Argiudoll",39.783355,-96.013955,20131,244,5220,United States,Nemaha,US,KS131,39.8588486,-96.2000809,0.37688,0.38,0.04956,7.11,2.1
36275,5851,United States,horizon,157,203,3Btss,Clay,2002,MLRA  74 & 106,"Fine, smectitic, mesic Aquertic Argiudoll",39.783355,-96.013955,20131,244,5220,United States,Nemaha,US,KS131,39.8592949,-96.1946411,0.17545,0.18,0.03677,7.05,3.5
37567,6259,United States,horizon,29,58,Bt1,Clay loam,2002,WILLAMETTE VALLEY,"Fine-loamy, mixed, superactive, mesic Typic Argiaquoll",44.496465,-122.526805,41043,244,6534,United States,Linn,US,OR043,44.63016102,-122.8051254,1.03152,1.03,0.1219,5.56,31.1
37585,6277,United States,horizon,103,152,BCg,Clay,2002,WILLAMETTE VALLEY,"Fine, mixed, superactive, mesic Fluvaquentic Endoaquoll",45.254455,-123.31727,41071,244,6548,United States,Yamhill,US,OR071,45.15986983,-123.2643396,0.66717,0.67,0.07923,6.79,5.5
37607,6285,United States,horizon,28,62,Bt1,Clay loam,2002,HUMBOLDT CO. NORTHERN SOIL SURVEY,"Fine, parasesquic, mesic Xeric Palehumult",40.73355,-123.910525,6023,244,4460,United States,Humboldt,US,CA023,41.0916667,-123.6713056,0.52224,0.52,0.03251,5.38,18.4
37667,6346,United States,horizon,66,114,C1,Fine sand,2002,ONTONAGON SOIL SURVEY,"Sandy, mixed, frigid Typic Haplorthod",46.682095,-89.376195,26131,244,5596,United States,Ontonagon,US,MI131,46.76832693,-88.94874338,0.09216,0.09,0.01603,5.23,98.3
38888,7024,United States,horizon,64,93,Bwb,Silty clay,2002,KANSAS RIVER TERRACES,"Fine, smectitic, mesic Fluvaquentic Hapludoll",39.04294,-95.769655,20177,244,5243,United States,Shawnee,US,KS177,39.0746841,-95.7685547,1.01479,0.9536,0.14667,7.64,1.2
38932,7069,United States,horizon,0,15,Ap1,Silt loam,2002,KANSAS RIVER TERRACES,"Fine-silty, mixed, superactive, mesic Pachic Argiudoll",39.04294,-95.769655,20177,244,5243,United States,Shawnee,US,KS177,39.1349983,-95.9337311,1.43949,1.4004,0.13096,7.48,18.4
40708,8222,United States,horizon,141,198,BC,Clay loam,2002,CHARACTERIZATION  -  2001-  ND,"Fine, smectitic, frigid Argiaquic Argialboll",48.229545,-98.74632,38071,244,6094,United States,Ramsey,US,ND071,48.1084442,-98.6229706,1.56519,0.0868,0.04749,8.13,39.2
